"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cnode347-vm02",,,,"User:","x9"
"Cmdline:","dstat -tcmdn --output sys_stat.csv",,,,"Date:","20 Feb 2017 17:05:46 CST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
20-02 17:05:46,0.458,0.183,99.319,0.040,0,1867632640,7677333504,910397440,5663272960,724.409,38937.641,0,0
20-02 17:05:47,3.630,0.876,95.494,0,0,1869152256,7675801600,910397440,5663281152,0,0,59288,1780991
20-02 17:05:48,1.629,0,98.371,0,0,1869152256,7675801600,910397440,5663281152,0,0,56580,1784807
20-02 17:05:49,2.253,0.125,97.622,0,0,1869152256,7675801600,910397440,5663281152,0,0,60541,1781096
20-02 17:05:50,2.133,0.125,97.742,0,0,1869033472,7675920384,910397440,5663281152,0,0,58571,1780504
20-02 17:05:51,2.003,0.250,97.747,0,0,1869279232,7675674624,910397440,5663281152,0,0,58050,1784525
20-02 17:05:52,3.759,0.125,96.115,0,0,1869783040,7675166720,910401536,5663281152,0,49152,64370,2071645
20-02 17:05:53,2.503,0.125,97.372,0,0,1869033472,7675928576,910401536,5663281152,0,0,75029,2515718
20-02 17:05:54,2.886,0.125,96.989,0,0,1868906496,7676055552,910401536,5663281152,0,0,86244,2525965
20-02 17:05:55,3.625,0.125,96.250,0,0,1869160448,7675801600,910401536,5663281152,0,0,75608,2351562
20-02 17:05:56,2.128,0.125,97.747,0,0,1869287424,7675674624,910401536,5663281152,0,0,52791,1614540
20-02 17:05:57,2.253,0.125,97.372,0.250,0,1869017088,7675936768,910409728,5663281152,0,20480,64925,2190716
20-02 17:05:58,4.762,0.627,94.612,0,0,1868759040,7676194816,910409728,5663281152,0,0,101744,3036667
20-02 17:05:59,2.882,0.125,96.992,0,0,1869148160,7675785216,910409728,5663281152,0,0,104779,3258058
20-02 17:06:00,4.397,0.251,95.352,0,0,1869791232,7675142144,910409728,5663281152,0,0,70926,2225372
20-02 17:06:01,2.372,0.749,96.879,0,0,1870491648,7674441728,910409728,5663281152,0,0,64101,1828343
20-02 17:06:02,2.122,0.125,97.753,0,0,1869934592,7674998784,910409728,5663281152,0,16384,64304,2176305
20-02 17:06:03,3.764,0.251,95.985,0,0,1869750272,7675174912,910413824,5663285248,0,28672,97107,2968812
20-02 17:06:04,3.008,0.125,96.867,0,0,1869242368,7675682816,910413824,5663285248,0,0,103869,3255981
20-02 17:06:05,4.130,0.125,95.745,0,0,1869246464,7675682816,910413824,5663285248,0,0,110882,3550837
20-02 17:06:06,4.266,0.251,95.483,0,0,1869119488,7675809792,910413824,5663285248,0,0,110754,3557443
20-02 17:06:07,2.005,0,97.870,0.125,0,1869246464,7675682816,910413824,5663285248,0,28672,61771,1780702
20-02 17:06:08,4.500,0.250,95.125,0.125,0,1869111296,7675809792,910422016,5663285248,0,32768,112526,3553187
20-02 17:06:09,3.764,0.251,95.985,0,0,1869508608,7675428864,910422016,5663285248,0,0,73680,2538442
20-02 17:06:10,4.130,0.125,95.745,0,0,1869127680,7675809792,910422016,5663285248,0,0,103644,3089313
20-02 17:06:11,2.882,0.125,96.992,0,0,1869127680,7675809792,910422016,5663285248,0,0,103308,3257387
20-02 17:06:12,3.885,0.125,95.990,0,0,1869127680,7675809792,910422016,5663285248,0,0,110010,3556004
20-02 17:06:13,3.634,0.125,96.241,0,0,1869508608,7675428864,910422016,5663285248,0,0,69495,2342502
20-02 17:06:14,3.008,0.125,96.867,0,0,1869127680,7675809792,910422016,5663285248,0,20480,101845,2989416
20-02 17:06:15,4.130,0.125,95.745,0,0,1869127680,7675809792,910422016,5663285248,0,0,108180,3552976
20-02 17:06:16,4.261,0.125,95.614,0,0,1869381632,7675555840,910422016,5663285248,0,0,96504,3228873
20-02 17:06:17,3.769,0.126,96.106,0,0,1869508608,7675428864,910422016,5663285248,0,8192,83488,2398356
20-02 17:06:18,3.129,0.375,96.496,0,0,1869127680,7675809792,910422016,5663285248,0,0,102420,3263243
